id,officer_id,job_title,badge_number
,#NYPD_662,Police Officer,27980
,#NYPD_663,Inspector,0
,#NYPD_664,Lieutenant,0
,#NYPD_665,Police Officer,15501
,#NYPD_666,Police Officer,24045
,#NYPD_667,Sergeant,5357
,#NYPD_668,Detective Specialist,3801
,#NYPD_669,Police Officer,4277
,#NYPD_670,Police Officer,7293
,#NYPD_671,Police Officer,
,#NYPD_672,Police Officer,
,#NYPD_673,Detective Specialist,7187
,#NYPD_674,Captain,0
,#NYPD_675,Police Officer,2303
,#NYPD_676,Police Officer,15222
,#NYPD_677,Detective Specialist,7072
,#NYPD_678,Police Officer,20173
,#NYPD_679,Police Officer,13214
,#NYPD_680,Police Officer,2815
,#NYPD_681,Lieutenant,0
,#NYPD_682,Police Officer,12090
,#NYPD_683,Police Officer,13455
,#NYPD_684,Police Officer,30895
,#NYPD_685,Detective Third Grade,5155
,#NYPD_686,Police Officer,12318
,#NYPD_687,Police Officer,20994
,#NYPD_688,Police Officer,2357
,#NYPD_689,Sergeant,
,#NYPD_690,Police Officer,
,#NYPD_691,Sergeant,1509
,#NYPD_692,Police Officer,13222
,#NYPD_693,Police Officer,4126
,#NYPD_694,Police Officer,14458
,#NYPD_695,Police Officer,6729
,#NYPD_696,Sergeant,3583
,#NYPD_697,Police Officer,8450
,#NYPD_698,Police Officer,4457
,#NYPD_699,Police Officer,14577
,#NYPD_700,Sergeant,1911
,#NYPD_701,Police Officer,27973
,#NYPD_702,Sergeant,5336
,#NYPD_703,Police Officer,2097
,#NYPD_704,Sergeant,3686
,#NYPD_705,Police Officer,1328
,#NYPD_706,Police Officer,18321
,#NYPD_707,Police Officer,26755
,#NYPD_708,Police Officer,20873
,#NYPD_709,Police Officer,18324
,#NYPD_710,Captain,0
,#NYPD_711,Detective Third Grade,
,#NYPD_712,Police Officer,
,#NYPD_713,Lieutenant,30178
,#NYPD_713,Lieutenant,0
,#NYPD_714,Police Officer,7575
,#NYPD_715,Police Officer,10292
,#NYPD_716,Police Officer,
,#NYPD_717,Sergeant,3082
,#NYPD_718,Sergeant,
