id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32302,75606.16,10835.62,2018,true
,32303,101810.36,16530.53,2018,true
,32304,53416.67,200.17,2018,true
,32305,75606.16,1652.9,2018,true
,32306,62835.09,2995.11,2018,true
,32307,65348.49,1010.18,2018,true
,32308,77118.28,6605.58,2018,true
,32309,65348.49,259.91,2018,true
,32312,75606.16,4191.27,2018,true
,32313,84913.17,,2018,true
,32314,77118.28,878.88,2018,true
,32316,78630.41,7052.46,2018,true
,32317,89496.91,13010.13,2018,true
,32318,78630.41,2512.33,2018,true
,32320,78630.41,1763.1,2018,true
,32322,75606.16,3687.27,2018,true
,32324,75606.16,9751.87,2018,true
,32325,87775.81,6068.0,2018,true
,32326,101810.36,,2018,true
,32328,78630.41,,2018,true
,32331,77118.28,21105.37,2018,true
,32332,84376.67,205.69,2018,true
,32333,75606.16,,2018,true
,32337,75606.16,1836.62,2018,true
,32338,78630.41,19139.01,2018,true
,32340,86570.32,,2018,true
,32341,78630.41,10073.06,2018,true
,32342,89496.91,13987.98,2018,true
,32343,75606.16,5438.96,2018,true
,32344,89496.91,11252.87,2018,true
,32345,101810.36,3366.98,2018,true
,32346,87775.81,40500.99,2018,true
,32347,77118.28,11196.57,2018,true
,32351,78630.41,12723.61,2018,true
,32355,89496.91,12396.72,2018,true
,32356,78630.41,455.46,2018,true
,32357,90033.13,2439.26,2018,true
,32358,65348.49,,2018,true
,32359,89496.91,26416.18,2018,true
,32360,77118.28,,2018,true
,32365,75606.16,1991.0,2018,true
,32367,62835.09,578.86,2018,true
,32368,90033.13,13794.42,2018,true
,32369,90033.13,4525.22,2018,true
,32370,90033.13,35296.26,2018,true
,32371,65348.49,,2018,true
,32373,64091.79,1120.21,2018,true
,32376,77118.28,3876.05,2018,true
,32377,54485.0,195.03,2018,true
,32378,75606.16,10835.59,2018,true
,32379,75606.16,4492.39,2018,true
,32380,90033.13,1682.25,2018,true
,32383,75606.16,1539.88,2018,true
,32386,78630.41,11152.8,2018,true
,32387,78630.41,,2018,true
,32389,119806.96,,2018,true
,32390,54485.0,,2018,true
,32391,77118.28,5908.1,2018,true
,32392,77118.28,1810.54,2018,true
,32393,78630.41,5039.44,2018,true
,32394,86570.32,10832.76,2018,true
,32395,86570.32,33611.61,2018,true
,32397,75606.16,12037.02,2018,true
,32398,78630.41,14845.97,2018,true
,32399,89496.91,9632.15,2018,true
,32400,55553.34,352.27,2018,true
,32401,77118.28,1748.24,2018,true
,32403,86570.32,582.3,2018,true
,32404,75606.16,13336.3,2018,true
,32405,78630.41,5744.81,2018,true
