id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
254,12195,,16117,POLICE OFFICER,,,
255,12196,,15639,POLICE OFFICER,,,
256,12197,,8842,POLICE OFFICER,,,
257,12198,,2530,SERGEANT OF POLICE,,,
258,12199,,11295,POLICE OFFICER,,,
259,12200,,9174,PO/MOUNTED PAT OFF.,,,
260,12201,,17507,POLICE OFFICER,,,
261,12202,,7268,POLICE OFFICER,,,
262,12203,,1548,SERGEANT OF POLICE,,,
263,12204,,501,LIEUTENANT OF POLICE,,,
264,12205,,15660,POLICE OFFICER,,,
265,12206,,20841,PO AS DETECTIVE,,,
266,12207,,6023,POLICE OFFICER,,,
267,12208,,12962,POLICE OFFICER,,,
268,12209,,15347,POLICE OFFICER,,,
269,12210,,4720,POLICE OFFICER,,,
270,12211,,3947,POLICE OFFICER,,,
271,12212,,8228,POLICE OFFICER,,,
272,12213,,6325,POLICE OFFICER,,,
273,12214,,19526,POLICE OFFICER,,,
274,12215,,6369,POLICE OFFICER,,,
275,12216,,21799,PO AS DETECTIVE,,,
276,12217,,14463,POLICE OFFICER,,,
277,12218,,3712,POLICE OFFICER,,,
278,12219,,572,LIEUTENANT OF POLICE,,,
279,12220,,142,CAPTAIN OF POLICE,,,
280,12221,,8874,POLICE OFFICER,,,
281,12222,,16133,PO ASSG CANINE HANDL,,,
282,12223,,11348,POLICE OFFICER,,,
283,12224,,1445,SERGEANT OF POLICE,,,
284,12225,,6547,POLICE OFFICER,,,
285,12226,,8050,POLICE OFFICER,,,
286,12227,,20875,PO AS DETECTIVE,,,
287,12228,,19719,POLICE AGENT,,,
288,12229,,2588,SERGEANT OF POLICE,,,
289,12230,,8635,POLICE OFFICER,,,
290,12231,,18786,POLICE OFFICER,,,
291,12232,,11743,POLICE OFFICER,,,
292,12233,,18388,POLICE OFFICER,,,
293,12234,,20727,PO AS DETECTIVE,,,
294,12235,,13718,POLICE OFFICER,,,
295,12236,,8182,POLICE OFFICER,,,
296,12237,,7697,POLICE OFFICER,,,
297,12238,,21277,PO AS DETECTIVE,,,
298,12239,,7381,POLICE OFFICER,,,
299,12240,,2453,SERGEANT OF POLICE,,,
300,12241,,11584,POLICE OFFICER,,,
301,12242,,14291,POLICE OFFICER,,,
302,12243,,1225,SERGEANT OF POLICE,,,
303,12244,,12966,POLICE OFFICER,,,
304,12245,,3281,POLICE OFFICER,,,
305,12246,,4314,POLICE OFFICER,,,
306,12247,,16678,POLICE OFFICER,,,
307,12248,,244,LIEUTENANT OF POLICE,,,
308,12249,,15637,POLICE OFFICER,,,
309,12250,,11413,PO ASGN EVID. TECHNI,,,
310,12251,,12006,POLICE OFFICER,,,
311,12252,,20,COMMANDER,,,
312,12253,,16501,POLICE OFFICER,,,
313,12254,,11107,POLICE OFFICER,,,
314,12255,,18488,POLICE OFFICER,,,
315,12256,,16137,POLICE OFFICER,,,
316,12257,,14446,POLICE OFFICER,,,
317,12258,,19032,POLICE OFFICER,,,
318,12259,,6224,POLICE OFFICER,,,
319,12260,,2728,POLICE OFFICER,,,
320,12261,,13917,POLICE OFFICER,,,
321,12262,,20583,PO AS DETECTIVE,,,
322,12263,,3724,POLICE OFFICER,,,
323,12264,,9106,POLICE OFFICER,,,
324,12265,,1231,SERGEANT OF POLICE,,,
325,12266,,7572,POLICE OFFICER,,,
326,12267,,13961,POLICE OFFICER,,,
327,12268,,19692,POLICE OFFICER,,,
328,12269,,8558,POLICE OFFICER,,,
329,12270,,14429,POLICE OFFICER,,,
330,12271,,4870,POLICE OFFICER,,,
331,12272,,9755,POLICE OFFICER,,,
332,12273,,11823,POLICE OFFICER,,,
333,12274,,870,SERGEANT OF POLICE,,,
334,12275,,5468,POLICE OFFICER,,,
335,12276,,10046,PO ASGN EVID. TECHNI,,,
336,12277,,12425,POLICE OFFICER,,,
337,12278,,3370,PO/EXP DET CAN HAND,,,
338,12279,,7455,POLICE OFFICER,,,
339,12280,,16237,POLICE OFFICER,,,
340,12281,,19735,POLICE OFFICER,,,
341,12282,,19887,POLICE OFFICER,,,
342,12283,,7319,POLICE OFFICER,,,
343,12284,,7020,POLICE OFFICER,,,
344,12285,,8812,POLICE OFFICER,,,
345,12286,,8679,POLICE OFFICER,,,
346,12287,,15598,POLICE OFFICER,,,
347,12288,,17016,POLICE OFFICER,,,
348,12289,,17298,POLICE OFFICER,,,
349,12290,,16690,POLICE OFFICER,,,
350,12291,,15395,POLICE OFFICER,,,
351,12292,,222,COMMANDER,,,
352,12293,,2697,SERGEANT OF POLICE,,,
353,12294,,6987,POLICE OFFICER,,,
354,12295,,8865,POLICE OFFICER,,,
355,12296,,12326,POLICE OFFICER,,,
356,12297,,8146,POLICE OFFICER,,,
357,12298,,11537,POLICE OFFICER,,,
358,12299,,4942,POLICE OFFICER,,,
359,12300,,14530,POLICE OFFICER,,,
360,12301,,13768,POLICE OFFICER,,,
361,12302,,4673,POLICE OFFICER,,,
362,12303,,8955,POLICE OFFICER,,,
363,12304,,20083,PO AS DETECTIVE,,,
364,12305,,5058,POLICE OFFICER,,,
365,12306,,19998,POLICE OFFICER,,,
366,12307,,13168,POLICE OFFICER,,,
367,12308,,19944,POLICE OFFICER,,,
368,12309,,16330,POLICE OFFICER,,,
369,12310,,14057,POLICE OFFICER,,,
370,12311,,19401,POLICE OFFICER,,,
371,12312,,14502,POLICE OFFICER,,,
372,12313,,18348,POLICE OFFICER,,,
373,12314,,4027,POLICE OFFICER,,,
374,12315,,7108,POLICE OFFICER,,,
375,12316,,5780,POLICE OFFICER,,,
376,12317,,10910,POLICE OFFICER,,,
377,12318,,18014,POLICE OFFICER,,,
378,12319,,14936,POLICE OFFICER,,,
379,12320,,20345,PO AS DETECTIVE,,,
380,12321,,205,LIEUTENANT OF POLICE,,,
381,12322,,2527,SERGEANT OF POLICE,,,
382,12323,,18297,POLICE OFFICER,,,
383,12324,,1907,SERGEANT OF POLICE,,,
384,12325,,13815,POLICE OFFICER,,,
385,12326,,5800,POLICE OFFICER,,,
386,12327,,4697,POLICE OFFICER,,,
387,12328,,9008,POLICE OFFICER,,,
388,12329,,21661,PO AS DETECTIVE,,,
389,12330,,19336,POLICE OFFICER,,,
390,12331,,11591,POLICE OFFICER,,,
391,12332,,8156,POLICE OFFICER,,,
392,12333,,9015,POLICE OFFICER,,,
393,12334,,15082,POLICE OFFICER,,,
