id,officer_id,badge_number,job_title,start_date,resign_date
,#U100409,,POLICE OFFICER,,
,#U100418,9534,POLICE OFFICER,2006-04-19,
,#U100421,15032,POLICE OFFICER,2003-05-13,2009-01-06
,#U100421,15029,POLICE OFFICER,2009-01-06,2010-07-19
,#U100423,19706,POLICE OFFICER,1997-01-21,
,#U100424,,POLICE OFFICER,,
,#U100432,,SERGEANT,,
,#U100436,19649,POLICE OFFICER,1997-04-22,2012-12-11
,#U100437,,SERGEANT,,
,#U100438,16535,POLICE OFFICER,1976-04-26,2008-10-15
,#U100440,15681,POLICE OFFICER,1971-06-14,2002-12-13
,#U100441,13070,POLICE OFFICER,1970-03-02,2001-04-16
,#U100442,,POLICE OFFICER,,
,#U100443,,POLICE OFFICER,,
,#U100445,,POLICE OFFICER,,
,#U100446,,POLICE OFFICER,,
,#U100447,,POLICE OFFICER,,
,#U100448,,POLICE OFFICER,,
,#U100450,,POLICE OFFICER,,
,#U100454,16659,POLICE OFFICER,1991-07-18,2000-04-24
,#U100455,18320,POLICE OFFICER,1993-09-03,2012-09-12
,#U100456,,SERGEANT,,
,#U100457,,POLICE OFFICER,,
,#U100460,16809,POLICE OFFICER,1977-11-01,
,#U100461,19037,POLICE OFFICER,1997-02-14,2008-11-03
,#U100465,,POLICE OFFICER,,
,#U100466,3323,POLICE OFFICER,1973-10-22,2011-07-05
,#U100474,17605,POLICE OFFICER,1985-09-09,2015-01-15
,#U100475,,POLICE OFFICER,,
,#U100476,,SERGEANT,,
,#U100481,,POLICE OFFICER,,
,#U100482,8495,POLICE OFFICER,2001-03-21,2006-01-31
,#U100488,,POLICE OFFICER,,
,#U100489,,DETECTIVE,,
,#U100492,,POLICE OFFICER,,
,#U100494,,POLICE OFFICER,,
,#U100495,,POLICE OFFICER,,
,#U100496,16155,POLICE OFFICER,1995-04-29,2015-01-15
,#U100497,,POLICE OFFICER,,
,#U100498,,POLICE OFFICER,,
,#U100505,12377,POLICE OFFICER,2003-12-17,2010-01-04
,#U100505,7525,POLICE OFFICER,2010-01-04,2012-09-11
,#U100506,4544,POLICE OFFICER,1994-09-30,2008-03-10
,#U100507,,POLICE OFFICER,,
,#U100509,16407,POLICE OFFICER,1976-10-18,2010-02-14
,#U100517,,POLICE OFFICER,,
,#U100519,20594,DETECTIVE,1995-02-17,2000-05-24
,#U100519,1941,SERGEANT,2000-05-24,2008-10-07
,#U100522,,POLICE OFFICER,,
,#U100524,,POLICE OFFICER,,
,#U100525,,POLICE OFFICER,,
,#U100526,14955,POLICE OFFICER,1970-06-15,2006-01-17
,#U100527,2380,SERGEANT,1998-08-06,2003-12-01
,#U100527,755,LIEUTENANT,2003-12-01,2015-10-15
,#U100527,755,FIRST DEPUTY SUPERINTENDENT,,
,#U100528,,POLICE OFFICER,,
,#U100530,,POLICE OFFICER,,
,#U100531,17695,POLICE OFFICER,1985-11-18,2004-01-22
,#U100531,17695,POLICE OFFICER,2004-02-24,2004-12-02
,#U100531,17695,POLICE OFFICER,2008-10-17,2013-01-15
,#U100532,,POLICE OFFICER,,
,#U100533,,POLICE OFFICER,,
,#U100534,16273,POLICE OFFICER,1976-04-26,2000-08-31
,#U100536,,POLICE OFFICER,,
,#U100537,13174,POLICE OFFICER,1967-10-23,2000-02-18
