right_idx,left_idx,score
100348,20732,10.0
100352,21651,11.5
100359,22486,11.5
100362,22694,10.0
100367,23546,10.5
100372,12060,9.0
100373,14111,10.0
100374,15633,10.0
100375,15869,10.0
100378,19950,11.0
100379,20843,10.0
100380,21083,11.0
100381,21415,11.0
100382,23822,11.0
100389,13308,11.0
100390,18908,10.5
100392,17335,11.5
100394,14623,11.5
100395,18303,9.5
100397,11959,11.0
100398,12129,9.0
100400,12447,11.0
100401,13282,10.0
100402,13656,10.0
100403,13748,10.0
100404,14497,10.0
100406,15000,10.0
100407,15516,11.0
100408,16096,10.0
100410,16470,10.0
100411,17745,10.0
100412,18936,10.0
100413,19075,10.0
100414,19228,11.0
100415,21558,10.0
100416,21879,11.0
100417,22667,10.0
100422,23866,10.5
100425,15397,10.5
100426,19259,11.5
100427,18551,11.5
100428,12012,10.0
100429,12276,10.5
100430,13840,11.5
100431,13982,11.5
100433,14994,11.0
100434,15837,10.0
100439,16690,10.5
100449,20489,11.5
100451,20745,11.5
100452,20812,10.0
100453,21307,10.0
100458,23642,10.5
100459,23853,11.5
100462,13306,10.0
100463,13600,10.0
100464,13715,11.5
100468,14942,10.0
100469,15389,10.0
100470,15455,11.0
100471,15564,10.0
100472,15715,11.5
100473,16597,11.5
100477,17445,10.5
100479,17687,11.5
100480,17848,10.5
100484,18955,10.5
100490,20110,10.0
100491,20235,11.0
100493,21191,11.0
100499,22293,11.5
100500,23036,10.0
100501,23087,10.0
100502,12993,11.5
100503,15870,11.0
100508,14095,11.0
100510,22125,11.0
100511,22126,10.0
100512,23059,11.0
100513,23823,11.5
100514,15017,10.0
100515,18065,11.5
100516,20144,11.5
100518,14806,10.5
100520,14245,10.0
100521,16514,10.0
100523,18258,10.0
100529,14781,10.5
100535,13492,11.5
100538,15159,11.0
100552,18603,11.5
100555,19456,11.5
100560,21037,11.5
100562,21572,11.5
100570,23547,11.5
100576,13309,9.0
100577,13543,10.0
100578,13657,10.0
100579,14518,10.0
100580,14693,10.0
100582,17993,10.0
100584,18921,10.0
100585,19902,10.0
100586,19977,11.0
100587,20762,10.0
100588,20948,10.0
100589,21084,10.0
100590,21880,11.0
100592,23120,10.0
100594,13149,11.5
100596,13501,10.0
100598,18307,11.5
100601,23730,10.5
100605,21468,10.0
100607,12848,10.5
100609,22555,11.5
100610,15778,11.5
100611,13187,11.5
100613,13724,11.5
100616,21774,11.5
100617,12366,11.5
100628,17942,10.5
100642,15212,11.5
100645,16176,11.5
100648,16346,11.5
100651,17000,11.5
100656,17865,10.5
100660,19373,11.5
100661,19478,10.5
100663,20342,11.5
100668,22396,11.5
100674,16181,11.5
100675,17672,11.5
100676,21635,11.5
100677,22425,11.5
100679,12859,11.5
100680,17040,11.5
100681,13397,11.0
100683,20532,11.5
100684,21085,11.0
100687,19167,10.5
100688,15634,11.0
100691,14090,11.5
100702,20794,11.5
100710,22747,10.5
100715,13074,11.5
100722,13363,10.0
100724,15517,10.0
100725,23112,11.0
100730,13359,10.5
100732,14146,11.5
100735,14631,11.5
100737,16036,11.5
100739,17116,10.5
100741,18579,11.5
100743,19168,11.5
100749,21541,10.0
100750,21986,10.5
100751,22172,10.5
100752,22204,10.5
100754,22625,11.5
100761,14052,10.0
100764,17551,11.5
100765,21987,11.5
100766,22946,11.5
100767,23076,10.5
100768,23652,11.5
100769,14216,11.5
100777,20837,11.0
100778,19438,11.5
100779,17407,10.5
100781,19672,11.5
100786,18096,10.0
100789,22642,11.5
100791,13071,11.5
100793,13348,11.5
100794,23203,8.5
100795,13723,11.5
100796,16453,11.5
100797,16786,11.5
100798,17423,11.5
100801,18197,11.5
100803,18676,11.5
100804,18821,10.5
100805,19112,11.5
100806,19582,11.5
100807,19903,11.0
100809,23118,11.5
100812,19651,11.0
100813,19978,11.0
100814,20395,11.0
100815,21086,11.0
100816,22922,11.0
100817,23003,11.0
100818,20519,10.0
100819,17909,10.0
100820,17398,10.5
100821,13616,10.0
100822,20145,11.5
100823,18594,10.5
100824,21988,11.5
100826,17943,11.5
100827,12663,11.5
100828,13192,9.5
100831,14136,10.5
100833,14557,9.5
100834,15436,10.5
100835,16022,11.5
100838,16314,11.5
100840,16878,11.5
100842,19470,10.5
100843,20080,9.5
100844,20491,11.5
100845,20781,11.5
100851,22641,11.5
100854,23470,11.5
100856,23653,11.5
100857,16357,10.0
100858,14081,11.5
100860,14502,11.5
100864,16407,11.5
100865,17024,10.5
100867,17495,10.5
100868,17727,11.5
100869,19013,11.5
100870,21020,11.5
100871,21620,11.5
100872,21769,11.5
100877,12533,11.0
100879,14211,11.0
100880,14218,11.0
100883,15871,10.0
100885,21087,10.0
100887,23824,10.0
100888,23837,11.0
100892,12382,11.5
100897,12826,10.5
100902,13007,11.5
100908,13236,10.5
100909,13385,11.5
100911,13521,10.5
100916,14085,11.5
100919,14240,10.5
100920,14282,10.5
100921,14361,10.0
100924,14662,11.5
100925,14671,11.5
100926,15371,10.5
100928,15650,10.0
100930,15950,10.5
100932,16118,11.5
100933,16232,10.5
100937,16772,10.5
100938,16794,11.5
100942,17118,10.5
100943,17117,11.5
100945,17229,10.5
100946,17235,11.5
100947,17250,11.5
100950,17374,11.5
100952,17544,11.5
100954,17619,11.5
100955,17629,11.5
100956,17648,11.5
100957,17661,11.5
100960,17810,11.5
100961,17921,10.5
100966,18540,11.5
100967,18577,10.0
100968,18610,11.5
100969,18819,10.5
100971,19239,11.5
100974,19467,11.5
100975,19499,11.5
100976,19503,11.5
100980,19814,11.5
100981,19871,11.5
100983,20047,11.5
100984,20292,11.5
100985,20297,11.5
100986,20377,11.5
100989,20932,11.5
100991,21088,11.0
100992,21289,11.5
100993,21349,11.5
100994,21659,11.5
100995,21687,11.5
100996,21690,11.5
100998,21714,10.5
100999,21749,11.5
101006,22240,10.5
101007,22281,11.5
101008,22299,11.5
101011,22579,11.5
101014,22828,11.5
101015,23098,11.5
101016,23190,11.5
101020,20131,10.5
101024,15546,10.5
101025,17615,11.5
101026,22850,10.5
101027,23787,10.5
101028,17974,11.5
101029,19307,11.5
101030,19333,11.5
101032,20564,10.5
101033,21516,10.5
101034,22873,11.5
101035,18097,9.0
101036,12355,11.0
101037,13297,10.0
101038,13758,11.0
101039,13891,11.0
101040,13893,11.0
101041,13916,11.0
101045,15888,11.0
101046,16010,11.5
101047,16132,10.0
101049,18922,10.0
101051,19629,10.0
101053,19838,11.0
101054,20204,11.0
101056,20236,11.0
101058,21089,10.0
101059,21205,11.0
101062,23241,11.5
101063,23804,10.0
101064,12418,10.5
101068,13823,10.5
101070,14117,11.5
101071,14325,11.0
101072,15492,11.0
101075,18265,10.5
101076,18294,10.5
101077,18419,11.5
101078,18742,10.5
101079,18856,11.5
101080,19260,10.5
101082,20089,11.5
101083,20237,11.5
101086,21350,10.5
101088,22305,11.5
101090,23676,11.5
101092,23113,7.0
101094,14077,10.0
101095,16097,10.0
101096,12177,11.0
101097,20024,11.5
101098,21989,11.5
101100,13939,11.5
101101,16700,11.5
101102,18482,11.5
101105,14260,11.5
101108,15518,11.0
101110,18370,9.5
101111,18411,10.5
101113,19544,11.5
101116,20722,11.5
101124,21469,11.0
101125,22469,11.5
101126,22765,10.5
101127,23022,10.0
101128,12329,11.5
101129,12668,11.0
101130,16233,11.5
101140,21878,11.0
101141,22370,11.0
101142,23401,11.5
101148,14233,11.5
101149,14666,11.5
101151,16971,11.5
101152,17524,11.5
101153,20726,11.5
101159,12484,10.5
101160,13534,11.5
101162,15501,10.5
101163,15798,10.5
101164,16011,10.5
101167,16686,9.5
101170,18321,11.0
101171,15372,8.5
101174,18743,11.5
101175,20966,11.0
101178,23706,11.5
101179,12365,10.5
101181,12650,11.5
101184,13813,11.5
101187,15959,11.5
101189,17944,11.5
101193,23551,11.5
101194,23799,11.5
101196,16687,10.5
101197,12482,11.5
101198,12584,11.5
101202,16219,11.5
101206,21342,11.0
101208,23397,11.5
101210,21251,11.5
101212,13075,11.5
101213,18040,11.5
101215,20898,11.5
101219,11973,11.0
101221,12023,11.0
101227,12182,11.5
101229,12186,11.5
101231,12240,11.5
101233,12380,10.5
101236,12470,11.5
101242,12544,10.5
101243,12576,11.0
101244,12593,11.5
101248,12680,10.5
101252,12799,11.5
101253,12803,11.5
101254,12823,11.5
101263,13076,10.5
101271,13404,11.5
101273,13418,9.0
101275,13434,11.5
101277,13544,10.0
101278,13581,11.0
101279,13599,11.0
101280,13658,11.5
101286,13746,11.5
101294,14261,11.5
101295,14372,10.5
101299,14447,10.5
101303,14465,11.5
101306,14550,10.5
101309,14668,11.5
101310,14690,11.5
101314,14788,11.5
101316,14953,11.5
101317,14976,11.5
101318,15001,11.0
101319,15031,11.0
101323,15083,11.5
101329,15304,10.5
101330,15321,11.5
101333,15547,11.0
101334,15565,11.0
101339,15719,11.5
101341,15750,10.5
101342,15759,11.5
101345,15775,10.5
101346,15781,11.5
101348,15979,10.0
101350,15984,11.5
101351,15996,11.0
101355,16023,11.5
101357,16065,11.5
101361,16209,11.5
101364,16544,11.5
101365,16601,9.5
101367,16632,11.5
101369,16855,11.5
101372,16879,10.5
101374,16960,11.5
101375,17041,11.5
101376,17119,10.5
101379,17306,11.5
101381,17323,10.5
101389,17690,11.5
101390,17702,10.5
101392,17725,11.5
101394,17744,11.5
101395,17779,11.5
101397,17796,11.5
101405,17945,10.5
101407,18039,11.5
101409,18049,11.5
101411,18098,11.0
101422,18454,11.5
101424,18483,11.0
101425,18484,10.0
101434,18697,11.5
101436,18904,9.0
101437,18923,11.0
101442,19219,10.0
101443,19229,10.0
101444,19325,11.5
101445,19358,11.5
101449,19570,11.5
101451,19576,11.5
101453,19609,11.5
101455,19642,11.5
101456,19781,10.0
101458,19796,11.5
101460,19820,11.5
101461,19839,11.5
101462,19872,11.5
101466,19882,11.5
101469,19941,11.5
101471,19995,11.0
101475,20061,11.5
101477,20090,10.5
101479,20139,11.5
101481,20159,10.5
101484,20309,11.5
101489,20463,11.5
101490,20464,10.5
101495,20583,11.5
101500,20725,11.5
101502,20777,11.5
101504,20842,11.5
101505,20848,11.0
101506,20884,11.5
101507,20891,11.5
101508,20899,10.5
101509,21038,11.5
101517,21238,11.5
101520,21257,11.5
101521,21263,11.5
101523,21283,11.0
101524,21302,10.5
101528,21395,10.5
101532,21505,11.5
101534,21542,10.0
101542,21680,11.5
101543,21696,11.5
101545,21758,11.5
101547,21781,11.5
101548,21785,11.5
101550,21917,11.5
101552,21921,11.5
101553,21932,11.5
101554,21950,11.5
101557,22069,11.5
101559,22116,11.0
101567,22298,11.5
101569,22327,11.5
101578,22761,10.5
101582,22895,10.5
101584,22941,11.5
101587,23099,11.5
101589,23115,11.5
101593,23162,10.5
101594,23229,11.5
101597,23299,10.5
101598,23318,9.5
101603,23562,11.5
101604,23581,11.5
101607,23624,11.5
101610,23796,11.0
101614,12065,10.0
101619,18188,11.5
101620,19169,11.5
101621,22882,10.5
101622,22355,9.5
101623,18031,11.5
101627,23404,11.5
101628,23856,11.5
101630,15525,10.0
101631,15726,10.0
101632,12104,11.0
101633,12158,9.0
101635,12416,11.5
101637,12988,10.0
101638,13545,10.0
101639,14053,10.0
101640,14448,10.0
101642,14613,9.5
101643,15018,11.0
101646,15421,10.0
101647,15464,11.5
101649,16092,10.0
101651,16471,10.0
101652,16515,10.0
101653,17042,11.5
101655,18485,11.0
101656,18875,10.0
101657,19076,11.0
101658,19200,10.0
101659,19359,9.0
101660,19487,10.0
101661,19777,10.0
101662,19874,11.0
101663,20238,11.0
101664,20336,10.5
101665,20457,11.0
101666,20578,10.0
101667,20702,11.0
101669,21247,10.0
101670,21517,11.0
101671,21881,9.0
101673,22695,11.0
101674,22776,10.0
101675,22912,11.0
101676,22919,11.0
101678,12241,11.5
101681,12691,10.0
101684,15225,11.5
101685,16952,11.5
101686,21830,8.5
101687,21506,9.5
101691,17915,10.5
101692,15541,10.0
101693,22580,11.5
101694,13603,10.0
101695,14198,10.0
101699,23471,11.5
101701,12535,10.0
101702,14836,10.0
101703,17707,10.5
101706,19984,11.5
101716,22489,11.5
101718,23300,11.5
101723,16408,10.5
101726,12138,10.0
101727,12159,10.0
101729,13574,10.0
101730,13617,11.0
101732,15648,10.0
101733,15872,10.0
101734,18527,10.0
101735,20239,10.0
101737,21248,10.0
101738,21432,10.0
101740,23096,10.0
101745,16393,11.5
101749,13489,11.5
101752,18193,11.0
101759,18212,10.0
101760,20827,10.0
101761,20967,10.0
101762,15838,10.0
101764,23719,11.0
101765,16429,11.5
101767,21585,11.5
101768,13620,11.5
101769,14558,10.5
101770,19085,11.5
101771,20205,10.0
101772,22963,10.0
101774,15335,11.5
101786,12756,11.5
101788,12800,11.5
101793,13422,10.5
101800,14367,11.0
101801,14420,10.5
101803,14373,9.5
101811,15469,11.5
101816,15951,11.5
101822,16275,11.0
101830,16873,11.5
101840,17866,10.5
101843,18231,11.5
101849,19086,11.5
101852,19360,11.0
101862,20378,10.5
101865,20527,11.5
101868,21232,11.0
101870,21393,11.5
101882,22507,11.5
101891,23742,11.5
101894,20439,10.5
101896,16397,10.5
101899,22681,10.5
101900,12076,11.0
101901,12235,11.5
101902,12606,10.0
101903,12963,10.0
101905,14519,10.0
101907,15327,10.0
101908,15839,10.0
101909,16152,10.0
101910,16472,10.0
101911,18486,10.0
101912,18919,9.0
101914,20111,10.0
101915,22696,10.0
101916,23004,10.0
101917,23091,11.0
101918,19326,11.5
101919,19444,11.5
101920,16381,10.5
101921,15410,11.5
101922,15086,11.0
101924,18282,11.5
101925,18545,11.5
101926,18640,11.5
101927,19026,11.5
101929,16730,10.5
101930,23252,11.5
101932,17412,10.5
101933,19348,11.5
101934,21262,11.0
101935,12722,10.5
101940,18364,11.5
101942,14816,11.5
101945,19204,10.5
101956,16810,11.5
101960,14096,10.5
101961,15873,11.0
101962,18195,11.0
101963,22697,11.0
101968,12703,11.0
101971,16966,10.5
101972,20350,11.5
101982,16941,11.5
101984,14062,11.0
101985,12684,10.0
101988,23023,10.0
101989,14020,11.5
101990,12042,9.5
101991,21567,10.5
101992,11947,10.5
101997,19800,11.5
101998,20660,11.5
102000,14934,11.0
102001,19421,11.5
102002,15103,11.5
102005,21920,10.5
102006,12367,11.5
102008,13197,11.5
102010,13497,11.5
102015,14804,10.5
102019,15242,11.5
102022,15756,11.0
102023,15790,11.5
102026,16400,11.5
102027,16560,10.5
102029,17011,11.5
102031,17196,11.5
102034,17479,11.5
102035,17529,11.5
102036,17568,10.5
102040,18455,10.5
102048,19963,11.5
102059,22444,11.5
102061,22766,11.5
102064,23376,11.5
102067,17901,10.5
102076,14234,10.5
102077,14875,11.5
102079,16189,11.5
102087,19383,11.5
102091,21974,10.5
102093,14810,11.5
102097,18153,10.0
102099,17421,10.5
102101,22241,11.5
102104,16841,10.0
102107,12635,10.5
102108,12694,10.0
102110,15278,10.0
102111,15350,10.5
102112,15494,11.5
102113,19311,11.5
102114,22608,10.5
102121,22698,10.0
102123,18449,11.5
102132,12723,10.5
102133,19027,10.5
102134,18214,11.0
102135,21206,10.0
102137,15150,11.5
102139,13571,10.5
102143,14454,10.5
102145,15566,10.0
102147,16768,11.0
102152,18487,10.0
102156,19864,10.0
102159,20881,11.5
102160,21470,11.0
102163,23037,11.0
102173,18488,11.0
102174,20041,11.5
102176,22187,11.5
102177,23647,9.5
102180,13062,11.5
102184,15316,10.5
102187,18701,11.5
102188,17354,11.5
102189,21759,10.0
102201,13972,11.5
102208,15002,11.0
102229,18661,11.5
102258,23035,10.5
102267,23708,10.5
102272,18070,11.5
102273,18378,10.0
102274,20628,10.0
102275,21075,11.0
102279,21324,11.0
102283,18316,11.5
102285,18654,10.5
102286,14143,11.5
102290,15210,11.5
102291,15761,10.5
102292,19815,11.5
102294,22411,11.5
102299,14154,11.5
102300,15393,11.5
102303,17188,11.5
102307,19355,11.5
102309,12936,11.5
102315,15791,9.5
102316,16652,11.5
102318,17946,11.5
102320,18247,11.5
102322,20849,11.5
102327,14355,11.5
102332,11960,10.0
102333,12098,11.5
102336,16018,11.0
102345,15874,9.0
102349,19844,11.0
102351,20402,11.5
102357,22581,10.5
102358,17120,11.5
102360,17681,11.5
102362,12146,11.5
102364,15151,10.0
102365,18291,11.0
102367,15345,10.5
102368,23723,10.5
102369,19828,10.5
102374,20240,11.0
102375,12463,11.5
102380,22686,10.5
102382,23316,11.5
102387,18868,10.5
102389,19831,10.5
102391,21888,10.5
102393,16086,10.0
102408,20780,11.5
102409,22808,11.5
102410,23473,11.5
102411,20295,11.5
102413,12205,11.5
102417,16533,11.5
102418,16998,11.5
102420,18057,11.5
102421,18990,11.5
102423,19579,11.5
102424,21586,11.5
102425,23716,11.5
102427,21317,11.5
102430,23686,10.5
102431,12586,10.5
102433,13426,10.5
102434,14578,11.5
102435,14735,11.0
102436,14957,11.5
102440,17200,11.0
102441,17489,11.5
102442,17653,11.5
102443,18650,11.5
102444,18800,11.5
102446,19384,11.5
102448,20100,10.5
102450,20140,11.5
102451,20674,11.5
102453,21778,11.5
102454,22557,11.5
102456,20306,11.5
102457,21991,11.5
102459,16992,10.0
102460,14273,9.5
102461,22582,11.5
102464,14837,10.5
102466,15364,11.5
102467,15660,11.5
102468,15864,11.0
102470,16111,11.5
102474,18099,11.0
102475,18489,11.0
102481,22900,10.0
102485,13144,10.5
102486,13428,11.5
102489,13949,11.5
102490,14022,11.5
102491,14471,11.5
102492,14736,11.5
102493,15744,11.5
102496,16344,11.5
102497,18643,11.5
102498,18651,10.5
102499,18755,11.5
102500,18768,11.5
102502,20290,11.5
102503,21021,10.5
102504,21837,11.5
102505,21593,10.5
102506,12263,11.5
102507,15174,11.5
102511,20886,10.5
102512,23383,11.5
102515,17044,11.5
102516,17237,11.5
102517,17345,11.5
102518,19966,11.5
102519,20029,11.5
102520,20455,11.5
102521,20570,11.0
102522,12054,11.0
102524,12377,11.5
102525,12378,11.5
102526,12493,11.5
102528,12688,11.5
102529,12689,10.5
102530,12696,11.5
102531,12697,11.5
102534,12879,11.5
102536,13005,11.5
102539,13202,10.5
102541,13242,11.5
102542,13274,11.5
102543,13296,11.5
102544,13327,11.5
102545,13326,11.5
102546,13360,11.5
102547,13349,11.5
102548,13508,11.5
102549,13550,11.5
102550,13611,11.5
102552,13669,11.5
102553,13751,11.5
102554,13899,10.5
102555,13900,11.5
102556,13945,11.0
102559,14023,11.5
102560,14083,11.5
102561,14105,11.5
102562,14131,11.5
102563,14235,11.5
102564,14270,11.5
102565,14312,11.5
102566,14313,11.5
102568,14482,11.0
102570,14572,10.5
102571,14672,10.0
102573,14726,11.5
102574,14737,11.5
102575,14761,11.5
102576,14778,11.5
102578,14825,11.5
102579,14984,11.5
102582,15143,11.5
102583,15216,11.5
102584,15215,11.5
102585,15331,10.5
102586,15336,11.5
102588,15481,11.5
102590,15527,11.5
102594,15666,11.5
102596,15720,11.5
102597,15789,11.5
102599,15986,11.5
102600,16061,10.5
102601,16113,11.5
102602,16223,11.5
102603,16263,11.5
102605,16315,11.5
102606,16366,11.5
102607,16401,8.5
102609,16465,11.5
102611,16651,11.5
102612,16669,10.5
102613,16773,10.5
102614,16777,11.5
102615,17045,11.5
102616,17194,11.5
102617,17256,9.5
102620,17384,11.5
102621,17405,10.5
102622,17408,11.5
102623,17425,11.5
102625,17473,10.5
102626,17569,11.5
102627,17626,11.5
102629,17649,11.5
102630,17733,11.5
102634,17922,11.5
102636,18010,11.5
102637,18100,11.0
102640,18232,11.5
102642,18288,11.5
102645,18490,10.0
102647,18655,11.5
102650,18727,11.5
102651,18747,11.5
102653,18809,10.5
102656,19056,11.5
102659,19313,10.5
102662,19385,11.5
102663,19387,11.5
102664,19386,11.5
102666,19650,11.5
102667,19694,11.5
102668,19726,11.5
102669,19734,11.5
102670,19744,11.5
102672,19825,11.5
102674,19904,11.0
102678,20492,10.5
102680,20599,11.5
102681,20629,11.5
102682,20737,11.5
102683,20782,11.5
102686,20806,11.5
102687,20892,11.5
102688,20968,11.0
102689,21090,11.0
102690,21160,11.5
102691,21203,11.5
102692,21223,11.5
102693,21286,11.5
102695,21654,11.5
102696,21675,11.5
102697,21689,11.5
102699,21825,11.5
102700,21834,11.5
102703,21952,11.5
102704,21982,11.5
102705,21992,11.5
102706,22080,11.5
102707,22084,10.5
102708,22146,11.5
102709,22153,10.5
102710,22182,11.5
102712,22260,11.5
102713,22310,11.5
102714,22317,9.5
102716,22372,11.5
102717,22387,11.5
102718,22426,11.5
102720,22471,11.5
102721,22490,11.5
102722,22540,11.5
102723,22583,11.5
102725,22743,11.5
102726,22771,11.5
102727,22809,11.5
102728,22884,11.5
102729,23074,11.5
102731,23239,10.5
102735,23364,11.5
102737,23687,11.5
102738,23731,11.5
102740,12948,11.5
102741,13141,11.5
102742,13361,9.5
102743,13966,11.5
102746,16210,11.5
102748,18741,9.0
102749,18971,11.5
102750,19087,10.5
102751,21039,11.5
102753,18647,11.5
102756,14174,11.5
102758,16596,11.5
102759,18952,11.5
102763,14730,11.5
102765,18962,11.5
102769,15799,10.5
102770,15218,11.5
102772,12333,11.5
102783,14866,11.5
102791,16699,11.0
102809,20344,11.5
102836,12499,11.0
102837,12852,11.5
102838,12866,11.5
102839,13523,11.5
102840,13689,11.5
102841,14120,11.5
102842,15337,11.5
102843,16618,11.5
102844,16659,11.5
102845,16769,11.5
102846,18665,11.5
102847,19194,11.5
102849,20362,10.5
102850,20610,11.5
102851,20807,10.5
102852,20873,11.5
102853,22185,11.5
102855,22688,11.5
102856,22943,11.5
102858,23879,11.5
102859,15567,10.0
102861,16316,9.5
102864,18795,11.5
102865,19507,11.5
102866,21993,11.5
102867,22858,11.5
102869,16060,10.5
102880,12503,10.5
102885,16880,11.5
102886,18622,10.5
102897,21507,11.5
102901,20893,11.5
102910,12837,11.5
102911,12893,11.5
102912,13650,10.5
102917,17121,11.5
102920,20919,11.5
102922,22338,11.5
102926,23588,10.5
102928,13780,11.5
102932,18999,11.5
102933,19596,11.5
102934,21471,10.0
102935,12517,11.5
102938,15875,11.0
102939,20109,11.0
102942,13077,10.5
102943,15415,11.5
102944,19057,11.5
102947,13229,11.5
102949,21994,11.5
102950,23353,10.5
102951,18101,10.0
102954,17695,11.5
102960,21900,11.5
102961,15349,11.5
102963,19077,11.0
102965,12634,11.5
102966,12976,11.5
102969,13473,11.5
102974,14121,10.5
102976,14219,11.0
102987,15777,11.5
102993,16363,11.5
102996,16814,10.0
102997,16837,11.5
102999,17046,11.5
103008,18456,11.5
103013,20164,11.5
103014,20561,11.5
103026,22362,11.5
103029,22829,11.5
103031,23284,11.5
103038,16881,11.5
103039,17047,10.5
103042,21091,11.0
103043,23291,11.5
103044,18648,11.5
103046,20565,11.5
103047,13502,10.5
103048,23743,10.5
103049,19279,10.5
103051,20241,10.0
103055,21304,10.5
103058,23882,11.5
103059,12069,11.0
103062,12520,11.0
103063,12524,10.0
103064,12607,10.0
103065,13346,11.0
103066,13378,11.5
103068,13536,11.0
103070,14063,11.0
103071,14064,10.0
103072,14071,10.0
103073,14510,10.0
103075,14520,11.0
103076,14589,11.0
103077,15025,10.0
103078,15160,11.0
103079,16104,11.0
103082,16516,11.0
103086,18569,11.0
103087,18600,10.0
103088,18876,11.0
103090,19297,10.0
103091,19652,11.0
103092,19905,11.5
103093,19906,11.0
103094,20018,10.0
103095,20242,10.0
103097,20721,10.0
103099,20969,11.0
103101,21174,11.0
103102,21325,11.0
103104,21416,10.0
103105,21473,10.0
103106,21534,10.0
103107,21545,10.0
103108,21544,11.0
103109,21543,11.0
103110,21733,11.0
103112,22119,10.0
103115,23005,10.0
103117,23078,10.0
103118,23722,11.0
103120,23797,11.0
103125,15239,11.5
103131,13320,10.5
103138,16823,10.5
103139,18867,11.5
103141,12401,10.5
103143,13340,10.0
103144,20869,10.0
103150,16473,11.0
103151,18103,11.0
103152,18102,11.0
103153,18325,10.0
103154,18343,11.5
103155,18937,11.0
103156,20002,11.0
103161,22282,10.0
103162,17947,11.5
103169,13230,11.5
103170,13775,11.5
103171,13955,11.5
103173,14423,11.5
103181,16309,11.5
103187,18413,11.5
103189,18816,10.5
103203,23351,11.5
103216,19890,10.0
103217,21421,10.0
103219,13205,11.5
103220,13950,11.5
103221,14577,11.0
103222,15876,11.0
103228,13078,11.5
103230,13741,11.5
103231,16254,10.5
103233,16742,10.5
103238,17666,11.5
103239,17677,11.5
103240,19821,11.5
103241,20774,11.5
103243,22109,11.5
103244,22739,11.5
103246,23744,10.5
103247,14193,11.5
103248,19616,11.5
103249,13275,11.5
103250,14001,10.5
103251,14084,10.5
103253,16853,11.5
103255,18580,11.0
103258,14147,11.5
103259,13971,11.5
103261,21508,11.5
103262,14004,11.5
103265,15764,11.0
103266,14442,11.5
103268,13756,11.5
103271,17293,11.5
103272,19603,10.5
103273,19869,11.5
103285,13079,11.5
103288,17216,10.5
103292,16682,11.5
103293,15635,10.0
103302,14732,10.5
103304,15696,11.5
103310,19767,11.5
