officer_id,salary,year,is_fiscal_year,id
#440,32070.0,2020,T,
#441,90189.0,2020,T,
#444,85734.0,2020,T,
#445,120315.0,2020,T,
#448,123924.0,2020,T,
#450,97751.0,2020,T,
#456,110539.0,2020,T,
#458,92911.0,2020,T,
#460,121746.0,2020,T,
#461,108648.0,2020,T,
#462,89404.0,2020,T,
#463,97505.0,2020,T,
#464,110006.0,2020,T,
#465,104715.0,2020,T,
#466,87996.0,2020,T,
#467,95555.0,2020,T,
#468,108298.0,2020,T,
#469,112509.0,2020,T,
#471,65752.0,2020,T,
#472,84056.0,2020,T,
#474,85490.0,2020,T,
#475,84985.0,2020,T,
#476,102877.0,2020,T,
#477,84904.0,2020,T,
#478,87450.0,2020,T,
#480,90261.0,2020,T,
#482,105414.0,2020,T,
#483,69340.0,2020,T,
#484,103851.0,2020,T,
#487,118498.0,2020,T,
#488,88795.0,2020,T,
#490,91028.0,2020,T,
#491,123922.0,2020,T,
#492,124157.0,2020,T,
#493,128458.0,2020,T,
#494,113638.0,2020,T,
#497,128612.0,2020,T,
#498,87566.0,2020,T,
#501,83546.0,2020,T,
#502,122200.0,2020,T,
#503,91422.0,2020,T,
#504,117810.0,2020,T,
#505,110682.0,2020,T,
#506,86416.0,2020,T,
#507,82308.0,2020,T,
#508,158304.0,2020,T,
#509,77017.0,2020,T,
#510,114873.0,2020,T,
#511,43764.0,2020,T,
#512,102403.0,2020,T,
#520,115913.0,2020,T,
#521,98909.0,2020,T,
#522,105536.0,2020,T,
#525,112251.0,2020,T,
#527,72891.0,2020,T,
#528,82678.0,2020,T,
#529,128849.0,2020,T,
#530,119679.0,2020,T,
#531,106504.0,2020,T,
#532,107067.0,2020,T,
#533,105457.0,2020,T,
#534,96706.0,2020,T,
#535,67864.0,2020,T,
#537,97108.0,2020,T,
#538,123171.0,2020,T,
#539,166705.0,2020,T,
#540,96413.0,2020,T,
#542,112087.0,2020,T,
#544,114201.0,2020,T,
#545,67886.0,2020,T,
#546,86747.0,2020,T,
#547,100698.0,2020,T,
#548,93302.0,2020,T,
#549,89943.0,2020,T,
#550,103655.0,2020,T,
#552,128348.0,2020,T,
#553,126760.0,2020,T,
#554,153057.0,2020,T,
#555,119506.0,2020,T,
#556,136952.0,2020,T,
#558,101677.0,2020,T,
#560,156569.0,2020,T,
#561,125456.0,2020,T,
#562,99642.0,2020,T,
#563,110724.0,2020,T,
#566,71243.0,2020,T,
#567,100400.0,2020,T,
#570,100146.0,2020,T,
#571,81061.0,2020,T,
#572,88775.0,2020,T,
#574,69837.0,2020,T,
#575,66277.0,2020,T,
#576,73310.0,2020,T,
#577,81110.0,2020,T,
#579,93419.0,2020,T,
#580,133418.0,2020,T,
#581,110335.0,2020,T,
#583,102913.0,2020,T,
#584,64920.0,2020,T,
#585,130245.0,2020,T,
#586,122296.0,2020,T,
#588,95916.0,2020,T,
#590,73618.0,2020,T,
#591,65821.0,2020,T,
#592,86455.0,2020,T,
#593,104811.0,2020,T,
#594,92225.0,2020,T,
#595,70605.0,2020,T,
#597,98426.0,2020,T,
#598,146396.0,2020,T,
#599,158960.0,2020,T,
#600,165140.0,2020,T,
#601,90686.0,2020,T,
#602,87871.0,2020,T,
#603,133662.0,2020,T,
#604,105970.0,2020,T,
#605,128442.0,2020,T,
#606,118938.0,2020,T,
#607,193739.0,2020,T,
#608,72041.0,2020,T,
#612,71695.0,2020,T,
#613,98967.0,2020,T,
#617,102331.0,2020,T,
#618,123160.0,2020,T,
#619,89943.0,2020,T,
#621,130472.0,2020,T,
#622,119663.0,2020,T,
#623,86720.0,2020,T,
#624,120126.0,2020,T,
#625,95825.0,2020,T,
#626,114474.0,2020,T,
#628,103838.0,2020,T,
#629,125850.0,2020,T,
#630,110768.0,2020,T,
#631,66573.0,2020,T,
#632,107936.0,2020,T,
